RUN,oil_recovery_at_1hcpv,oil_recovery_at_2hcpv
1,12.21,14.89
2,12.41,19.29
3,11.34,13.92
4,12.35,18.22
5,12.84,18.88
6,11.34,14.04
7,11.31,18.36
8,11.44,13.9
9,8.98,14.01
10,8.17,11.89
11,13.36,21.73
12,17.94,27.2
13,9.34,14.5
14,13.49,17.93
15,9.59,14.04
16,9.04,12.68
17,9.27,14.31
18,9.35,14.95
21,15.52,25.08
22,12.45,20.15
23,11.97,18.65
24,11.97,14.59
26,10.75,14.62
27,8.7,12.95
28,11.41,16.77
29,12.22,18.54
30,9.54,12.7
31,12.18,19.09
33,11.93,14.75
34,9.82,16.02
36,9.4,14.92
37,9.15,13.15
38,11.86,15.74
39,12.21,17.67
40,8.4,10.89
41,11.37,17.65
42,7.69,11.4
43,9.61,15.3
44,19.64,29.43
45,10.91,16.05
46,7.76,10.55
47,16.27,26.04
48,9.5,15.17
49,9.13,12.97
51,16.21,23.09
52,11.17,17.12
53,7.78,10.22
54,10.18,14.17
55,12.82,19.42
56,14.11,20.54
57,10.1,15.43
58,21.95,31.7
59,13.52,19.72
60,12.21,18.33
61,12.72,20.97
62,11.18,18.35
63,7.99,9.79
64,8.65,13.08
65,8.8,13.98
66,11.93,15.95
69,10.34,15.98
70,9.13,11.84
71,12.48,20.12
72,20.58,30.8
73,8.23,10.07
74,10.18,12.49
75,11.79,16.65
76,19.65,29.51
77,10.01,15.8
78,8.93,13.04
79,9.73,14.85
80,15.1,23.88
81,9.95,12.17
82,21.09,31.26
83,8.66,12.18
85,8.05,10.97
86,14.7,22.95
87,8.57,10.42
88,14.25,20.88
89,16.19,23.44
90,16.24,25.98
91,11.27,17.48
92,13.15,21.43
94,8.44,10.64
95,16.8,24.35
96,7.75,9.52
97,13.81,21.74
98,11.23,14.86
99,10.98,17.73
100,10.06,15.72
101,17.54,27.12
102,8.03,9.82
103,12.24,18.52
105,8.73,12.5
107,11.92,19.64
108,10.12,13.47
109,11.5,19.01
110,17.28,25.12
111,17.7,25.99
112,10.93,13.36
113,11.26,14.15
114,9.53,14.38
115,20.88,30.27
116,12.22,18.89
117,10.31,15.01
118,20.91,29.45
119,10.63,14.32
120,17.25,25.07
121,8.36,10.83
122,7.26,8.94
123,10.09,16.34
124,10.15,15.57
125,10.97,17.7
126,9.31,14.48
127,8.88,11.08
128,12.33,20.25
129,14.04,19.73
131,8.14,9.95
132,11.8,19.42
134,6.84,8.56
135,8.24,10.67
136,11.51,19.0
138,10.38,17.08
139,11.6,15.59
140,10.2,15.96
141,10.73,15.97
142,15.28,24.7
143,9.83,12.87
144,11.94,19.06
145,11.06,18.02
146,8.64,10.43
147,9.72,12.76
149,10.37,15.53
150,11.79,14.29
151,12.93,20.18
153,12.14,14.79
154,17.88,25.68
155,14.11,23.19
156,11.93,17.26
157,12.85,17.2
158,10.4,16.29
159,9.22,11.44
160,14.21,23.28
161,7.82,9.58
162,11.48,14.23
164,14.15,20.86
165,12.25,20.36
166,11.18,17.73
167,12.06,14.98
168,7.96,9.92
169,10.02,14.36
170,12.0,16.38
171,9.16,11.17
172,10.15,16.35
174,16.31,24.63
175,11.07,16.99
176,18.6,27.28
177,10.09,12.87
178,10.48,13.48
179,14.04,22.77
180,18.38,26.9
181,12.7,19.89
182,10.27,13.1
183,12.55,20.77
184,8.69,12.66
185,14.89,21.6
186,9.71,12.0
187,18.51,26.33
188,9.71,12.44
189,8.84,12.77
190,20.7,30.43
191,13.13,21.49
192,8.63,12.5
193,14.72,23.42
194,12.64,19.42
195,8.73,12.28
196,11.9,19.31
197,15.7,23.97
199,10.31,15.69
200,9.86,12.47
202,14.46,22.69
203,12.93,18.09
204,12.43,20.77
205,7.48,10.17
206,16.3,25.45
207,18.61,27.73
208,8.95,10.88
209,11.7,14.32
210,13.63,21.96
211,9.89,15.36
213,10.58,16.26
214,14.85,21.23
215,17.79,27.13
216,7.85,10.88
217,13.05,20.53
218,12.29,18.66
219,18.14,26.31
220,8.19,12.42
221,7.11,8.75
222,17.62,27.37
223,10.58,15.65
224,11.7,19.31
225,12.32,15.5
227,10.69,13.88
228,11.49,19.22
229,13.06,19.17
230,10.25,15.72
231,13.18,19.94
232,13.37,20.23
233,9.26,11.3
234,10.97,17.65
236,11.83,16.56
237,19.33,28.66
238,11.14,18.12
239,13.67,22.27
240,12.87,16.39
241,10.83,13.22
242,13.2,20.4
243,19.15,28.05
244,8.97,13.23
245,14.62,21.71
246,9.71,14.33
248,12.43,18.93
249,9.05,11.02
250,11.49,14.17
251,11.32,17.97
252,13.13,19.0
253,11.24,13.74
254,11.34,17.65
255,10.26,12.3
256,9.09,14.54
257,7.87,9.69
258,7.82,11.47
259,8.55,12.54
260,8.0,12.34
261,7.65,10.05
262,7.89,9.67
263,16.53,23.69
264,7.93,12.17
265,10.33,15.97
266,10.12,15.13
267,10.4,13.38
268,11.64,17.96
269,9.57,14.01
270,10.47,16.37
271,13.96,20.96
272,12.03,17.02
273,11.86,14.4
274,12.38,19.73
275,9.44,11.93
276,15.08,24.55
278,10.5,15.84
279,9.35,11.39
280,15.22,22.16
281,13.97,19.49
282,13.47,19.83
283,8.95,11.31
284,11.57,15.39
285,8.75,13.68
286,12.67,17.81
287,14.57,21.3
288,17.15,24.88
289,9.42,14.57
290,13.07,21.25
291,14.16,22.78
292,13.88,20.86
293,7.89,11.81
294,17.26,24.59
295,12.22,20.21
296,7.64,11.61
297,8.41,10.23
298,7.87,11.29
299,7.73,11.83
300,9.96,14.62
301,11.31,13.86
302,18.23,27.31
303,14.88,21.97
304,8.87,13.07
