RUN,DPCOEF,POROS,MMP,SOINIT,SWINIT,XKVH,SORW,SORG,SORM,SGR,SSR,SWC,SWIR,KWRO,KRSMAX,W,oil_recovery_at_1hcpv,oil_recovery_at_2hcpv
1,0.84,0.053,1874.0,0.433,0.567,0.1,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.79,3.64
2,0.69,0.072,1541.0,0.36,0.64,0.01,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.51,3.6
3,0.98,0.092,1877.0,0.466,0.534,0.09,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
4,0.87,0.118,1617.0,0.366,0.634,0.09,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.0,2.45
5,0.83,0.06,1511.0,0.448,0.552,0.13,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.36,4.38
6,0.83,0.103,1372.0,0.41,0.59,0.14,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.69,3.54
7,0.75,0.07,1508.0,0.437,0.563,0.13,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.59,4.89
8,0.88,0.119,1805.0,0.371,0.629,0.09,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,1.99,2.41
9,0.86,0.105,1846.0,0.399,0.601,0.07,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.28,2.91
10,0.87,0.116,1659.0,0.442,0.558,0.04,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.09,3.73
11,0.93,0.126,1440.0,0.444,0.556,0.14,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.04,3.22
12,0.87,0.102,1455.0,0.357,0.643,0.01,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,1.9,2.34
13,0.78,0.104,1529.0,0.427,0.573,0.08,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.21,4.35
14,0.82,0.091,1674.0,0.422,0.578,0.07,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.92,3.87
15,0.9,0.108,1432.0,0.35,0.65,0.13,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,1.8,2.02
16,0.83,0.076,1870.0,0.373,0.627,0.1,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,1.94,2.58
17,0.67,0.064,1581.0,0.462,0.538,0.01,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,4.72,6.6
18,0.97,0.088,1539.0,0.384,0.616,0.11,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
19,0.66,0.089,1810.0,0.385,0.615,0.01,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.89,4.26
20,0.83,0.075,1770.0,0.417,0.583,0.1,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.8,3.68
21,0.82,0.092,1580.0,0.343,0.657,0.13,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,1.85,2.49
22,0.79,0.097,1650.0,0.39,0.61,0.12,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.55,3.46
23,0.9,0.102,1899.0,0.349,0.651,0.1,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,1.48,1.86
24,0.66,0.136,1550.0,0.412,0.588,0.14,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.53,5.08
25,0.96,0.097,1355.0,0.39,0.61,0.03,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,,
26,0.68,0.093,1496.0,0.369,0.631,0.12,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.68,3.85
27,0.65,0.092,1848.0,0.37,0.63,0.08,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.48,3.76
28,0.72,0.106,1328.0,0.368,0.632,0.15,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.51,3.52
29,0.7,0.077,1823.0,0.454,0.546,0.05,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,4.12,5.82
30,0.84,0.108,1424.0,0.336,0.664,0.04,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,1.73,2.26
31,0.9,0.1,1304.0,0.429,0.571,0.04,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,2.84,3.15
32,0.87,0.087,1411.0,0.362,0.638,0.03,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,1.96,2.41
33,0.82,0.105,1383.0,0.437,0.563,0.12,0.35,0.35,0.05,0.05,0.05,0.15,0.15,0.3,0.35,0.66,3.19,4.22
