DPCOEF,POROS,MMP,SOINIT,XKVH,SOLRAT,RF_1HCPV,RF_2HCPV
0.797,0.103,1531.957,0.415,0.097,7.831,2.949,3.944
0.907,0.096,1430.641,0.43,0.1,2.762,2.619,2.908
0.85,0.098,1450.813,0.395,0.098,3.521,2.344,2.948
0.827,0.102,1480.335,0.381,0.1,9.008,2.297,2.986
0.762,0.1,1491.462,0.384,0.096,6.269,2.547,3.543
0.762,0.103,1508.823,0.411,0.079,9.913,3.041,4.194
0.738,0.107,1514.436,0.402,0.098,3.22,2.938,4.124
0.879,0.095,1586.407,0.397,0.085,2.62,2.266,2.7
0.828,0.102,1602.886,0.373,0.1,2.607,2.096,2.758
0.845,0.097,1535.793,0.429,0.087,9.483,2.955,3.716
0.723,0.099,1770.823,0.419,0.1,7.146,3.284,4.616
0.916,0.093,1616.39,0.366,0.1,4.697,1.939,2.074
0.871,0.095,1704.413,0.388,0.083,5.073,2.179,2.659
0.773,0.098,1783.222,0.4,0.08,7.601,2.632,3.665
0.767,0.098,1471.36,0.394,0.097,6.933,2.703,3.736
0.768,0.106,1577.52,0.39,0.1,4.847,2.604,3.606
0.787,0.103,1579.245,0.413,0.1,7.52,2.95,3.984
0.817,0.108,1552.597,0.352,0.096,4.741,1.954,2.597
0.804,0.101,1340.038,0.395,0.089,5.619,2.511,3.383
0.785,0.097,1717.997,0.379,0.1,8.806,2.288,3.16
0.829,0.098,1441.706,0.358,0.1,2.946,1.935,2.535
0.759,0.098,1871.478,0.395,0.081,5.46,2.489,3.548
0.785,0.098,1697.843,0.369,0.1,2.735,2.121,2.955
0.796,0.102,1625.049,0.378,0.1,2.31,2.243,3.073
0.807,0.1,1466.821,0.398,0.094,9.729,2.596,3.459
0.86,0.099,1604.654,0.446,0.098,6.5,3.192,3.923
0.771,0.095,1516.794,0.41,0.1,9.817,2.969,4.07
0.815,0.092,1513.115,0.38,0.096,8.871,2.3,3.05
0.826,0.097,1724.829,0.389,0.1,9.882,2.296,3.022
0.734,0.095,1561.756,0.391,0.1,9.477,2.77,3.899
0.829,0.103,1584.834,0.367,0.083,9.034,2.109,2.751
0.765,0.095,1731.874,0.368,0.091,7.794,2.184,3.079
0.74,0.103,1425.707,0.367,0.1,7.877,2.368,3.362
0.906,0.099,1629.873,0.399,0.1,9.542,2.297,2.539
0.914,0.094,1624.462,0.41,0.1,9.816,2.399,2.603
0.865,0.104,1576.656,0.403,0.1,9.552,2.485,3.02
0.787,0.101,1724.956,0.447,0.1,5.866,3.563,4.791
0.749,0.097,1798.611,0.364,0.1,9.016,2.094,3.009
0.841,0.105,1589.414,0.45,0.097,6.082,3.378,4.266
0.805,0.093,1586.542,0.395,0.098,6.514,2.542,3.4
0.755,0.096,1600.62,0.375,0.099,8.592,2.4,3.365
0.812,0.103,1676.756,0.439,0.096,8.641,3.286,4.314
0.729,0.102,1655.564,0.395,0.1,8.591,2.855,4.019
0.892,0.098,1500.276,0.386,0.1,8.627,2.202,2.511
0.78,0.094,1407.243,0.374,0.081,5.416,2.302,3.184
0.838,0.105,1804.427,0.379,0.098,6.244,2.083,2.733
0.788,0.098,1516.778,0.447,0.1,4.022,3.621,4.842
0.816,0.096,1644.946,0.383,0.1,5.708,2.293,3.049
0.82,0.1,1724.27,0.447,0.097,9.686,3.369,4.392
0.768,0.106,1532.486,0.385,0.1,8.533,2.553,3.532
0.916,0.093,1643.832,0.376,0.099,4.901,2.014,2.165
0.858,0.103,1439.363,0.371,0.1,7.063,2.093,2.578
0.902,0.101,1826.431,0.391,0.088,4.027,2.04,2.35
0.887,0.099,1402.316,0.376,0.092,3.657,2.021,2.334
0.827,0.103,1580.841,0.411,0.091,5.341,2.717,3.525
0.896,0.107,1611.257,0.377,0.1,3.374,2.027,2.307
0.747,0.097,1705.801,0.424,0.085,6.438,3.316,4.596
0.77,0.095,1447.659,0.424,0.1,5.398,3.241,4.427
0.734,0.106,1581.683,0.381,0.1,3.106,2.557,3.624
0.79,0.102,1532.267,0.416,0.1,7.604,3.0,4.035
0.799,0.099,1536.985,0.427,0.1,7.768,3.158,4.202
0.782,0.101,1700.455,0.403,0.097,9.124,2.722,3.726
0.87,0.103,1331.352,0.388,0.1,7.697,2.21,2.661
0.794,0.103,1687.48,0.393,0.1,3.738,2.476,3.38
0.784,0.106,1715.262,0.419,0.1,7.304,3.012,4.096
0.819,0.099,1766.753,0.382,0.1,9.81,2.183,2.92
0.759,0.098,1640.845,0.385,0.095,8.819,2.535,3.54
0.864,0.102,1544.994,0.368,0.1,5.471,2.046,2.497
0.743,0.099,1577.313,0.39,0.094,7.569,2.73,3.825
0.928,0.101,1826.193,0.358,0.095,2.13,1.694,1.798
0.858,0.099,1753.759,0.384,0.1,3.752,2.105,2.662
0.77,0.096,1588.851,0.388,0.098,5.193,2.557,3.537
0.712,0.1,1798.764,0.378,0.091,5.286,2.481,3.569
0.867,0.102,1721.484,0.36,0.077,9.027,1.905,2.343
0.845,0.104,1766.569,0.399,0.1,9.913,2.363,3.025
0.849,0.1,1661.119,0.428,0.1,5.638,2.877,3.621
0.857,0.096,1739.93,0.385,0.1,5.122,2.153,2.71
0.743,0.099,1760.422,0.376,0.1,3.051,2.326,3.331
0.795,0.103,1428.697,0.381,0.085,3.873,2.336,3.182
0.754,0.099,1820.874,0.427,0.1,3.119,3.193,4.47
0.878,0.102,1545.052,0.399,0.1,4.772,2.358,2.796
0.831,0.1,1581.393,0.364,0.1,7.979,2.073,2.689
0.791,0.097,1706.461,0.412,0.097,2.175,2.775,3.792
0.74,0.104,1654.401,0.367,0.1,8.972,2.325,3.297
0.788,0.094,1761.258,0.353,0.092,7.781,1.903,2.66
0.79,0.1,1568.521,0.378,0.093,4.949,2.333,3.185
0.849,0.096,1559.214,0.369,0.1,6.203,2.081,2.617
0.833,0.094,1375.525,0.404,0.1,2.872,2.495,3.232
0.885,0.1,1588.601,0.396,0.1,8.232,2.331,2.717
0.809,0.1,1677.138,0.414,0.089,8.253,2.804,3.726
0.755,0.102,1532.835,0.398,0.085,5.025,2.817,3.917
0.846,0.103,1588.601,0.392,0.1,4.085,2.328,2.951
0.855,0.103,1498.725,0.399,0.1,6.677,2.452,3.036
0.822,0.099,1697.767,0.393,0.097,4.582,2.38,3.151
0.857,0.101,1404.365,0.348,0.1,7.633,1.881,2.322
0.812,0.101,1669.715,0.41,0.1,7.701,2.738,3.627
0.816,0.099,1561.169,0.443,0.091,9.828,3.378,4.397
0.803,0.101,1386.529,0.392,0.081,4.822,2.471,3.326
0.725,0.107,1737.595,0.392,0.1,2.447,2.689,3.84
0.752,0.096,1596.294,0.35,0.095,9.079,2.06,2.919
0.728,0.106,1631.444,0.431,0.099,2.076,3.561,4.971
0.833,0.093,1680.377,0.436,0.098,5.58,3.106,3.996
0.789,0.098,1650.828,0.422,0.1,4.058,3.042,4.117
0.814,0.098,1679.896,0.361,0.1,5.283,2.002,2.689
0.891,0.101,1693.144,0.432,0.099,3.396,2.723,3.192
0.779,0.095,1628.057,0.345,0.099,7.396,1.925,2.678
0.801,0.105,1556.544,0.394,0.1,6.493,2.552,3.422
0.854,0.104,1509.202,0.397,0.1,5.233,2.414,3.0
0.776,0.102,1767.798,0.424,0.1,7.316,3.102,4.254
0.744,0.1,1826.423,0.416,0.094,2.668,2.991,4.234
0.785,0.106,1553.731,0.42,0.088,8.864,3.105,4.191
0.763,0.104,1442.183,0.428,0.099,5.634,3.369,4.613
0.899,0.1,1500.142,0.396,0.088,6.926,2.289,2.57
0.865,0.102,1656.525,0.419,0.1,4.213,2.64,3.244
0.833,0.101,1476.431,0.355,0.1,9.777,1.978,2.559
0.881,0.101,1701.058,0.394,0.1,5.611,2.241,2.671
0.864,0.098,1782.295,0.347,0.098,3.488,1.699,2.135
0.768,0.1,1819.113,0.434,0.1,3.272,3.269,4.528
0.887,0.094,1340.971,0.442,0.1,4.221,2.897,3.383
0.819,0.098,1813.211,0.358,0.1,8.181,1.85,2.512
0.865,0.102,1683.748,0.4,0.1,4.464,2.351,2.896
0.888,0.107,1423.0,0.384,0.1,2.659,2.083,2.408
0.789,0.107,1573.392,0.386,0.095,5.576,2.462,3.354
0.752,0.101,1667.639,0.394,0.1,3.714,2.677,3.754
0.775,0.101,1811.702,0.364,0.099,9.367,2.009,2.849
0.803,0.096,1471.888,0.371,0.1,4.984,2.191,2.956
0.867,0.102,1451.631,0.403,0.1,4.521,2.418,2.931
0.878,0.094,1591.586,0.343,0.1,5.587,1.816,2.152
0.713,0.098,1824.223,0.404,0.1,2.23,2.907,4.167
0.815,0.102,1828.224,0.384,0.1,6.248,2.172,2.951
0.802,0.098,1502.545,0.424,0.099,9.894,3.074,4.083
0.775,0.093,1539.755,0.404,0.1,4.745,2.821,3.868
0.755,0.104,1771.337,0.412,0.089,9.481,2.959,4.132
0.792,0.098,1681.531,0.362,0.1,2.975,2.026,2.804
0.904,0.094,1829.409,0.379,0.093,6.72,1.937,2.212
0.79,0.094,1761.316,0.455,0.1,3.356,3.671,4.942
0.816,0.097,1496.767,0.393,0.1,9.034,2.487,3.28
0.844,0.096,1692.036,0.387,0.1,7.799,2.258,2.883
0.795,0.103,1393.497,0.429,0.1,9.0,3.203,4.283
0.917,0.098,1718.92,0.347,0.097,7.539,1.809,1.934
0.912,0.104,1632.195,0.4,0.1,7.38,2.302,2.503
0.779,0.096,1811.108,0.374,0.1,6.229,2.143,3.018
0.813,0.1,1815.182,0.388,0.089,6.365,2.249,3.052
0.787,0.102,1395.638,0.373,0.099,8.264,2.285,3.142
0.784,0.102,1469.982,0.349,0.1,6.582,1.997,2.757
0.73,0.101,1595.224,0.392,0.1,5.463,2.8,3.941
0.829,0.106,1752.721,0.419,0.083,7.661,2.774,3.618
0.813,0.097,1717.244,0.441,0.1,9.712,3.271,4.3
0.736,0.1,1819.916,0.406,0.1,9.277,2.866,4.063
0.783,0.105,1637.808,0.389,0.094,4.603,2.501,3.433
0.891,0.094,1514.899,0.418,0.096,5.095,2.571,2.964
0.777,0.093,1367.225,0.398,0.091,9.66,2.676,3.698
0.76,0.097,1500.317,0.388,0.086,3.863,2.59,3.61
0.812,0.101,1658.234,0.37,0.1,3.022,2.092,2.822
0.927,0.097,1784.802,0.42,0.1,5.812,2.409,2.58
0.778,0.096,1540.339,0.397,0.1,5.568,2.698,3.696
0.839,0.1,1750.423,0.443,0.1,6.383,3.17,4.059
0.855,0.101,1566.611,0.421,0.094,2.256,2.688,3.355
0.777,0.097,1535.561,0.392,0.091,3.651,2.577,3.548
0.849,0.098,1602.665,0.415,0.1,8.421,2.7,3.385
0.796,0.101,1582.151,0.394,0.09,4.883,2.553,3.452
0.833,0.107,1775.437,0.357,0.1,9.332,1.875,2.47
0.833,0.102,1590.321,0.399,0.094,6.551,2.504,3.228
0.818,0.103,1523.429,0.428,0.092,2.17,2.985,3.918
0.748,0.099,1731.66,0.426,0.1,9.825,3.328,4.616
0.871,0.097,1884.997,0.402,0.1,4.536,2.187,2.74
0.79,0.1,1648.347,0.389,0.088,4.951,2.465,3.368
0.768,0.104,1512.328,0.34,0.091,9.285,1.935,2.715
0.732,0.1,1507.332,0.383,0.098,9.024,2.668,3.769
0.826,0.104,1401.918,0.451,0.098,7.48,3.492,4.486
0.84,0.109,1417.952,0.414,0.095,2.082,2.607,3.336
0.72,0.094,1776.295,0.413,0.1,2.029,3.11,4.412
0.815,0.093,1431.786,0.417,0.1,3.426,2.823,3.725
0.775,0.095,1595.266,0.406,0.1,8.1,2.849,3.898
0.835,0.099,1666.895,0.403,0.094,8.68,2.534,3.268
0.766,0.095,1735.878,0.394,0.089,3.798,2.574,3.6
0.842,0.105,1475.581,0.394,0.094,2.63,2.33,2.973
0.798,0.092,1580.714,0.428,0.091,5.415,3.163,4.218
0.901,0.098,1512.759,0.39,0.087,9.431,2.218,2.469
0.759,0.096,1514.588,0.425,0.1,6.196,3.336,4.577
0.792,0.106,1533.861,0.424,0.1,7.864,3.157,4.224
0.753,0.102,1627.385,0.418,0.096,7.668,3.197,4.415
0.897,0.106,1354.625,0.349,0.1,8.833,1.853,2.062
0.882,0.108,1571.253,0.367,0.1,9.874,2.038,2.375
0.78,0.1,1483.383,0.384,0.089,9.842,2.468,3.396
0.837,0.097,1823.067,0.426,0.085,6.32,2.767,3.6
0.867,0.096,1625.94,0.429,0.1,4.668,2.816,3.437
