RUN,DPCOEF,PERMAV,THICK,POROS,NLAYERS
1,0.81,25.7,4.0,0.261,3
2,0.96,98.4,1.4,0.276,9
3,0.95,33.5,4.5,0.232,5
4,0.86,18.9,12.6,0.231,3
5,0.79,31.5,15.9,0.179,4
6,0.85,34.1,12.5,0.254,4
7,0.72,33.1,2.9,0.282,7
8,0.83,44.4,1.7,0.215,9
9,0.78,23.8,10.9,0.286,6
10,0.76,64.7,2.7,0.256,4
11,0.71,27.0,6.2,0.197,8
12,0.81,53.1,3.7,0.191,8
13,0.72,59.8,14.9,0.28,8
14,0.72,29.4,17.4,0.24,7
15,0.8,40.9,7.2,0.236,8
16,0.89,43.1,3.3,0.283,7
17,0.93,94.4,10.4,0.261,6
18,0.83,46.7,7.0,0.24,6
19,0.97,34.2,15.4,0.2,4
20,0.72,29.9,18.7,0.233,8
21,0.89,50.8,4.5,0.26,9
22,0.86,31.5,5.3,0.239,5
23,0.95,11.9,5.2,0.262,3
24,0.8,41.3,10.9,0.263,7
25,0.81,44.3,6.7,0.194,4
26,0.71,46.1,2.0,0.332,4
27,0.97,33.6,10.3,0.236,9
28,0.77,79.1,5.5,0.275,8
29,0.81,90.2,11.2,0.296,3
30,0.95,27.3,1.8,0.231,7
31,0.9,44.9,5.3,0.238,7
32,0.75,28.3,18.8,0.302,3
33,0.8,37.4,13.5,0.269,8
34,0.87,20.0,2.8,0.256,9
35,0.97,21.8,7.6,0.29,8
36,0.97,50.7,13.2,0.262,3
37,0.75,50.1,1.2,0.278,3
38,0.9,113.5,13.4,0.266,4
39,0.91,30.7,15.2,0.212,7
40,0.95,67.4,2.8,0.313,5
41,0.78,69.3,13.0,0.242,8
42,0.85,39.2,4.7,0.341,8
43,0.78,45.7,4.4,0.245,9
44,0.99,40.0,1.3,0.274,9
45,0.83,35.7,8.3,0.276,8
46,0.8,49.8,18.8,0.208,7
47,0.87,50.2,19.8,0.223,3
48,0.86,53.5,14.2,0.269,7
49,0.81,70.3,16.4,0.23,9
50,0.97,57.8,16.2,0.35,7
51,0.91,50.2,7.4,0.256,5
52,0.73,35.1,9.8,0.253,6
53,0.79,36.4,1.7,0.253,8
54,0.81,46.2,15.6,0.214,4
55,0.89,147.4,13.1,0.311,8
56,0.99,16.3,16.1,0.256,4
57,0.83,30.4,4.3,0.305,4
58,0.78,108.0,13.5,0.263,4
59,0.99,54.0,12.6,0.305,5
60,0.77,84.2,1.3,0.226,3
61,0.71,39.7,2.9,0.312,6
62,0.84,39.4,8.6,0.208,7
63,0.89,41.9,12.9,0.234,6
64,0.96,27.4,2.3,0.265,7
65,0.71,61.8,11.9,0.254,5
66,0.89,129.7,18.9,0.185,5
67,0.99,35.1,7.1,0.257,8
68,0.71,33.3,3.2,0.278,7
69,0.89,53.6,16.3,0.269,4
70,0.75,64.9,19.8,0.27,5
71,0.81,32.0,18.7,0.289,9
72,0.83,67.5,3.0,0.277,9
73,0.85,34.4,18.0,0.282,5
74,0.7,52.6,19.1,0.246,7
75,0.89,18.3,7.2,0.235,7
76,0.93,61.1,2.7,0.271,6
77,0.72,15.8,17.9,0.309,5
78,0.74,55.0,12.7,0.231,3
79,0.73,36.0,16.6,0.257,7
80,0.72,21.7,16.4,0.203,9
81,1.0,32.1,2.6,0.295,8
82,0.87,68.6,3.1,0.245,6
83,0.7,31.8,3.3,0.248,3
84,0.89,58.0,19.3,0.301,5
85,0.79,37.7,19.3,0.265,3
86,0.99,50.0,2.4,0.25,6
87,0.99,139.3,14.2,0.264,6
88,0.89,69.1,1.9,0.256,4
89,0.99,42.3,12.8,0.283,4
90,0.76,15.5,12.1,0.232,3
91,0.99,17.2,16.5,0.262,7
92,0.75,23.1,18.7,0.311,9
93,0.71,43.1,16.4,0.241,9
94,0.75,19.0,19.4,0.295,8
95,0.95,13.1,6.2,0.22,3
96,0.96,44.8,15.6,0.252,9
97,0.95,38.3,3.5,0.197,9
98,0.88,63.8,12.7,0.213,5
99,0.73,50.5,15.7,0.318,6
100,0.96,125.1,17.7,0.309,5
